,District name,State name,latitude,longitude,economic_growth_score,digital_score,income_score,infrastructure_score,education_score,mobility_score,Population,Literate,Workers,Households_with_Internet,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Power_Parity_Above_Rs_545000
1,Bangalore,KARNATAKA,13.088572299208495,74.0776542487811,100.0,1.0,0.24505907910772,1.0,1.0,1.0,9621551,7512276,4246927,430880,2330631,1788912,3442
2,Mumbai Suburban,MAHARASHTRA,19.628590191070632,77.49575752063932,89.94,0.8662552535850522,0.47708366449425105,0.8620789807531283,0.7761563033523862,0.6042440268313319,9356962,7575485,3735021,404757,1964657,1586946,7897
3,Thane,MAHARASHTRA,19.57479122230081,77.00802624909835,83.44,0.661567143090005,0.4044137127112807,0.9326633905345101,0.6968746362094846,0.7002036654583642,11060148,8227161,4492767,256170,2231800,1610460,5565
4,Pune,MAHARASHTRA,18.1932064453924,75.77937745103219,77.06,0.5939616638803178,0.34059238064960523,0.8095915746610378,0.6666926120782035,0.8891449689952807,9429408,7171723,4048993,235018,1925019,1410448,5349
5,Mumbai,MAHARASHTRA,18.353912387561707,75.40265025028896,54.44,0.26656225708184494,1.0,0.2717746385019029,0.24618303736787897,0.1868926265825664,3085411,2509022,1284396,121344,625927,494883,18289
6,North Twenty Four Parganas,WEST BENGAL,24.131884343967062,87.79465612273582,51.26,0.33781524581986233,0.20259100302018757,0.5824225860786078,0.5198941563764092,0.4930455459391031,10009781,7608693,3571624,105185,1608749,791267,1719
7,Ahmadabad,GUJARAT,22.44866565495917,70.29471352247718,50.76,0.327515720823405,0.21869867005775445,0.5875337310799968,0.4736645538225614,0.5816085022205644,7214225,5435760,2594952,126341,1456046,965017,2909
8,Chennai,TAMIL NADU,11.124439635376467,79.43226525313604,49.9,0.469397534306494,0.2186721771843374,0.48688276251959756,0.46725979242987997,0.43858420663400915,4646732,3776276,1817297,217368,1096334,910262,3686
9,Rangareddy,ANDHRA PRADESH,15.92287225667939,80.8152706450018,41.72,0.35588323710122516,0.05144916017591268,0.4815406725428523,0.4570571007299878,0.49481120978841925,5296741,3538028,2196078,142879,1211352,773246,603
10,Kolkata,WEST BENGAL,22.332722769901867,86.8009006702676,39.11,0.31872663992536243,0.22863349758914853,0.37628780357971997,0.3810005165185218,0.2706121921135848,4496694,3588137,1795740,136618,927602,623579,3383
11,Surat,GUJARAT,21.61446612869518,71.60494620563186,37.25,0.16781574547870184,0.16780586022359986,0.5017640213469896,0.2772553987792684,0.48473093934356554,6081322,4571410,2553542,55694,1252452,815423,1684
12,Hyderabad,ANDHRA PRADESH,17.444106942471898,80.89316521890052,36.49,0.34692459984289414,0.12141683887034388,0.35201526810987444,0.36682134911360575,0.37259568832296375,3943323,2892155,1413297,149034,869721,581509,1710
13,Jaipur,RAJASTHAN,25.510325163018695,74.04896960213212,35.05,0.21195773705330703,0.09961320404811105,0.37869220547351734,0.39539031969867816,0.47587792549769364,6626178,4300965,2464893,76565,990085,570997,1476
14,Nagpur,MAHARASHTRA,20.029880476439512,77.40485631371462,31.84,0.1585507600138594,0.16332856461611828,0.36808573571152425,0.35314845862065314,0.32968232347585585,4653570,3673808,1868560,57964,917626,599780,2385
15,Kancheepuram,TAMIL NADU,10.38326801454751,78.16257465565654,31.59,0.24647924818546024,0.07992899909924231,0.3840770360555861,0.2861102946272174,0.3740731402042373,3998252,3013382,1673814,100322,961161,622095,797
16,Coimbatore,TAMIL NADU,12.485221987926904,77.7178845587135,30.64,0.17450625925085578,0.15111534997085785,0.38121681531978713,0.24327442017979486,0.37918687183113053,3458045,2635907,1567950,63273,896325,675153,1837
17,Nashik,MAHARASHTRA,19.302946767909326,76.12243979135187,29.5,0.1505332834220569,0.11254172627563186,0.34965020700052263,0.292616447957089,0.37132749067778875,6107187,4345366,2763328,45039,904710,536781,764
18,North West,NCT OF DELHI,29.050385450937014,77.89540872537222,29.15,0.24800279808950118,0.06416573941609707,0.32659723584848843,0.33608627805219604,0.2895834930900612,3656539,2707855,1188545,114044,720900,625662,769
19,Barddhaman,WEST BENGAL,22.99569071845928,87.3401924783827,28.81,0.1421652265297547,0.10822338790865257,0.3256176017469251,0.28838529755461084,0.3636770388316075,7717563,5247208,2911251,32323,1049943,292585,835
20,Thiruvallur,TAMIL NADU,12.44713295144126,77.0817215632293,28.53,0.2045840831628896,0.07004715731468235,0.37146151499903834,0.25720096120922004,0.3404550174876754,3728104,2791721,1538054,75634,909400,621907,580
21,Ernakulam,KERALA,9.159800488388296,76.89473161035299,26.13,0.2234163067348278,0.04487892756848408,0.3081449508774452,0.2794802178185576,0.2739791057695682,3282388,2855676,1249343,88737,771287,499291,392
22,Lucknow,UTTAR PRADESH,28.048114712034213,78.56366372889298,25.9,0.18070694353773203,0.06413924654268002,0.2551898265702801,0.3471871589330564,0.30297089026629875,4589838,3127260,1542806,68506,582769,469747,767
23,Ghaziabad,UTTAR PRADESH,28.32106450730395,80.8541518503279,25.5,0.2109363033273183,0.04278599056853706,0.29020943867985927,0.24934086706151487,0.32101321940891525,4681645,3123264,1520538,78116,695130,501592,478
24,South,NCT OF DELHI,29.467095454898107,77.9077200892073,24.85,0.23568989370372526,0.06416573941609707,0.2556230608878778,0.2771802936406089,0.2326383969825799,2731929,2078402,924393,111453,549402,504898,769
25,Ludhiana,PUNJAB,32.06030559682783,74.54713526270537,24.74,0.1489466618284401,0.12957664388279552,0.28915525136332815,0.20146748613200685,0.296820635327054,3498739,2560225,1284822,58589,703624,488757,1722
26,Krishna,ANDHRA PRADESH,17.133357097926986,79.40699328344444,24.43,0.10790828884867955,0.027340645366396438,0.43594033217221356,0.21855424656402525,0.272032131572825,4517398,3009718,2048880,30438,1163932,632890,364
27,Visakhapatnam,ANDHRA PRADESH,17.446040488072065,80.7986420533587,24.03,0.1393073417904005,0.04413712711280666,0.365228186263558,0.21114512463527066,0.2756199969066765,4290589,2568249,1889879,45492,1010250,495389,611
28,Hugli,WEST BENGAL,21.748048404801466,87.09470147895921,24.02,0.12289477758219183,0.07055052190960631,0.3116649797079262,0.24330855887918554,0.2767985141649521,5519145,4078388,2152870,31725,965258,319815,463
29,West,NCT OF DELHI,29.33533162773513,76.0075366076747,23.84,0.2297758989149212,0.06416573941609707,0.24153007481548686,0.2616379679690239,0.22363104189113842,2543243,1961179,874320,109666,520282,475985,769
